id,created_at,favorite_count,retweet_count,text
1498342589011046402,2022-02-28 17:01:25+00:00,8,1,"As #BlackHistoryMonth ends, we thank the next generation of trailblazers and thought leaders that have shared their perspectives. Meet Kenya, age 16, a young mind with an infectious passion for celebrating the Black experience through her own words and stories. #MicIsYours https://t.co/rlyuojuJWe"
1497572430327468043,2022-02-26 14:01:05+00:00,17,2,"In honor of #BlackHistoryMonth, Kia continues celebrating the voices of Black youth. Meet Malachi, age 11, and hear his perspective on making the world a better place for everybody. #MicIsYours https://t.co/JHpDIUCXEI"
1497398615010156547,2022-02-26 02:30:24+00:00,20,6,"From hitting buckets to adopting pets, we were fully charged all weekend at #NBAAllStar #NBACrossover #LiveFullyCharged #KiaEV6 https://t.co/ntZ5EWgi35"
1497345728695447554,2022-02-25 23:00:15+00:00,36,7,"Call first dibs on second row. #KiaSorento 

https://t.co/jgwaFffikF https://t.co/oEKBcoQeVl"
1497001359081721857,2022-02-25 00:11:51+00:00,14,1,"In honor of #BlackHistoryMonth, we’ve been highlighting and amplifying the voices of Black youth. Meet brother and sister, Denver &amp; Dylan, ages 13 and 17. Two young Black voices in unison, sharing their perspective of how to inspire a better future and make change. #MicIsYours https://t.co/YWBTjas0DI"
1496943589384884224,2022-02-24 20:22:18+00:00,151,12,"Stinger enthusiasts, AWD or RWD? What’s your pick? 
IG: ohstinger https://t.co/UzIkRGkjsD"
1496213671273500673,2022-02-22 20:01:52+00:00,20,3,"Aaron Brimhall believes that nothing is more inspiring than holding a camera. See the world through his lens, and join us as we explore the groundbreaking people who inspire us. @aaronbrimhall38 
#MovementThatInspires #InspirationSeries  

https://t.co/Mvff44f6lH https://t.co/D97YQ6Ndyp"
1495888631780814850,2022-02-21 22:30:16+00:00,16,0,"All charged up for the game. And the Kia NBA All-Star Arcade. @dejountemurray showing Kia fans why he’s a #NBAAllStar.
 #NBACrossover #KiaEV6 https://t.co/9A5sUN912x"
1495616822732808197,2022-02-21 04:30:12+00:00,25,4,"A new QR jersey. A great cause. @CavsMoondog  and Kia are supporting @Petfinder_fnd to help pets find forever homes. 
Click here to learn more: https://t.co/QvvjtSUyvF

#NBAAllStar #NBACrossover #LiveFullyCharged https://t.co/0toNhR6mxE"
1495591644153929731,2022-02-21 02:50:09+00:00,18,0,Nothing but net. And a chance to win tickets to the 2022 NBA All-Star Game. See which Kia fans have game and win during the weekend of fun. #NBAAllStar  #NBACrossover https://t.co/E8X8w08nk6
1495154282982686727,2022-02-19 21:52:14+00:00,133,12,The atmosphere is ⚡️⚡️ at the Kia NBA All-Star Arcade. Join us if you’re in Cleveland this weekend. #NBAAllstar #NBACrossover https://t.co/HzSBdKrpYE
1494824169950875654,2022-02-19 00:00:29+00:00,161,66,There’s a new way to help pets find their forever homes. Adopt your very own generative #RoboDog NFT from our collection to benefit the @Petfinder_fnd. Powered by Sweet. https://t.co/9M40wb8PnT https://t.co/2X5WqXKgKh
1494741166650187780,2022-02-18 18:30:39+00:00,12,0,"In honor of #BlackHistoryMonth, we’re highlighting and amplifying the voices of Black youth. Meet Rylan, age 10, a young curious mind who is not afraid to dig deep and offer up a strong personal perspective on the future. #MicIsYours https://t.co/9MrC070ku8"
